-39.038,12.687
-39.157,16.464
-39.356,20.118
-39.631,23.59
-39.978,26.822
-40.391,29.762
-40.863,32.361
-41.387,34.576
-41.953,36.371
-42.553,37.717
-43.177,38.591
-43.815,38.979
-44.455,38.875
-45.088,38.281
-45.703,37.206
-46.29,35.667
-46.84,33.691
-47.343,31.309
-47.791,28.561
-48.177,25.492
-48.494,22.152
-48.737,18.596
-48.903,14.883
-48.988,11.073
-48.991,7.2285
-48.913,3.4134
-48.753,-0.30996
-48.516,-3.8804
-48.204,-7.2394
-47.823,-10.332
-47.38,-13.107
-46.881,-15.519
-46.335,-17.528
-45.75,-19.102
-45.137,-20.214
-44.505,-20.847
-43.865,-20.989
-43.227,-20.639
-42.601,-19.803
-41.999,-18.493
-41.43,-16.732
-40.902,-14.549
-40.426,-11.979
-40.008,-9.064
-39.656,-5.8528
-39.375,-2.3977
-39.17,1.2445
-39.044,5.0141
-39,8.8491
-39.038,12.687
