-8.3023,35.776
-9.2192,36.409
-10.395,36.856
-11.811,37.107
-13.443,37.16
-15.266,37.013
-17.248,36.669
-19.357,36.133
-21.559,35.415
-23.817,34.525
-26.095,33.479
-28.355,32.294
-30.56,30.989
-32.673,29.586
-34.661,28.107
-36.49,26.578
-38.13,25.022
-39.555,23.466
-40.74,21.936
-41.667,20.455
-42.321,19.05
-42.69,17.742
-42.769,16.553
-42.555,15.503
-42.054,14.608
-41.273,13.885
-40.224,13.344
-38.925,12.994
-37.398,12.841
-35.667,12.889
-33.761,13.135
-31.712,13.575
-29.551,14.204
-27.317,15.009
-25.044,15.979
-22.77,17.097
-20.533,18.345
-18.37,19.701
-16.315,21.145
-14.403,22.653
-12.665,24.198
-11.129,25.757
-9.8214,27.304
-8.7628,28.812
-7.9709,30.258
-7.4585,31.618
-7.2342,32.869
-7.3016,33.991
-7.6596,34.965
-8.3023,35.776
